Institution Name ,Cert ,FIN ,Location ,Effective Date ,Ins. Fund ,Transaction Type ,Charter Class ,Failure / Assistance ,Total Deposits ,Total Assets ,Estimated Loss 12/31/2016
BADGER STATE BANK,13272,10339,"CASSVILLE, WI",2/11/2011,DIF,PA ,NM ,FAILURE,"78,549","83,828","19,454"
PEOPLES STATE BANK,14939,10341,"HAMTRAMCK, MI",2/11/2011,DIF,PA ,NM ,FAILURE,"389,868","390,524","103,271"
CANYON NATIONAL BANK,34692,10340,"PALM SPRINGS, CA",2/11/2011,DIF,PA ,N ,FAILURE,"205,285","210,859","15,617"
SUNSHINE STATE COMMUNITY BANK,35478,10342,"PORT ORANGE, FL",2/11/2011,DIF,PA ,NM ,FAILURE,"116,715","125,531","32,294"
NORTH GEORGIA BANK,35242,10338,"WATKINSVILLE, GA",2/4/2011,DIF,PA ,NM ,FAILURE,"139,672","153,172","48,860"
AMERICAN TRUST BANK,57432,10336,"ROSWELL, GA",2/4/2011,DIF,PA ,NM ,FAILURE,"222,161","238,205","70,717"
COMMUNITY FIRST BANK - CHICAGO,57948,10337,"CHICAGO, IL",2/4/2011,DIF,PA ,SM ,FAILURE,"49,504","51,083","10,994"
FIRSTIER BANK,57646,10334,"LOUISVILLE, CO",1/28/2011,DIF,PO ,NM ,FAILURE,"718,797","764,090","240,888"
FIRST COMMUNITY BANK,12261,10333,"TAOS, NM",1/28/2011,DIF,PA ,SM ,FAILURE,"1,847,851","2,188,154","241,540"
EVERGREEN STATE BANK,5328,10332,"STOUGHTON, WI",1/28/2011,DIF,PA ,NM ,FAILURE,"193,694","240,949","28,789"
THE FIRST STATE BANK,2303,10335,"CAMARGO, OK",1/28/2011,DIF,PA ,NM ,FAILURE,"41,204","44,546","33,591"
ENTERPRISE BANKING COMPANY,19758,10329,"MCDONOUGH, GA",1/21/2011,DIF,PO ,NM ,FAILURE,"94,591","99,461","46,036"
COMMUNITYSOUTH BANK AND TRUST,57868,10328,"EASLEY, SC",1/21/2011,DIF,PA ,NM ,FAILURE,"314,250","340,986","45,189"
THE BANK OF ASHEVILLE,34516,10330,"ASHEVILLE, NC",1/21/2011,DIF,PA ,NM ,FAILURE,"199,394","204,925","45,095"
UNITED WESTERN BANK,31293,10331,"DENVER, CO",1/21/2011,DIF,PA ,SA ,FAILURE,"1,535,194","2,153,690","162,140"
OGLETHORPE BANK,57440,10327,"BRUNSWICK, GA",1/14/2011,DIF,PA ,NM ,FAILURE,"201,369","211,149","84,130"
FIRST COMMERCIAL BANK OF FLORIDA,34965,10325,"ORLANDO, FL",1/7/2011,DIF,PA ,SM ,FAILURE,"537,223","578,638","88,904"
LEGACY BANK,57820,10326,"SCOTTSDALE, AZ",1/7/2011,DIF,PA ,NM ,FAILURE,"119,685","136,446","32,224"
"APPALACIAN COMMUNITY BANK, F.S.B.",58495,10319,"MCCAYSVILLE, GA",12/17/2010,DIF,PA ,SA ,FAILURE,"76,360","68,201","28,814"
FIRST SOUTHERN BANK,58052,10322,"BATESVILLE, AR",12/17/2010,DIF,PA ,NM ,FAILURE,"172,514","191,764","25,100"
CHESTATEE STATE BANK,34578,10320,"DAWSONVILLE, GA",12/17/2010,DIF,PA ,NM ,FAILURE,"244,476","244,376","83,075"
UNITED AMERICAS BANK,35065,10323,"ATLANTA, GA",12/17/2010,DIF,PA ,N ,FAILURE,"244,172","242,339","96,415"
THE BANK OF MIAMI,19040,10324,"CORAL GABLES, FL",12/17/2010,DIF,PA ,N ,FAILURE,"374,218","448,150","29,876"
COMMUNITY NATIONAL BANK,23306,10321,"LINO LAKES, MN",12/17/2010,DIF,PA ,N ,FAILURE,"28,916","31,569","5,827"
EARTHSTAR BANK,35561,10317,"SOUTHAMPTON, PA",12/10/2010,DIF,PA ,NM ,FAILURE,"104,505","112,643","24,558"
PARAMOUNT BANK,34673,10318,"FARMINGTON HILLS, MI",12/10/2010,DIF,PA ,SM ,FAILURE,"213,550","252,744","68,586"
ALLEGIANCE BANK OF NORTH AMERICA,35078,10314,"BALA CYNWYD, PA",11/19/2010,DIF,PA ,NM ,FAILURE,"91,996","106,595","12,776"
GULF STATE COMMUNITY BANK,20340,10316,"CARRABELLE, FL",11/19/2010,DIF,PA ,NM ,FAILURE,"112,193","112,144","44,443"
FIRST BANKING CENTER,5287,10315,"BURLINGTON, WI",11/19/2010,DIF,PA ,SM ,FAILURE,"664,752","750,724","88,775"
DARBY BANK & TRUST COMPANY,14580,10312,"VIDALIA, GA",11/12/2010,DIF,PA ,NM ,FAILURE,"587,626","654,714","131,352"
COPPER STAR BANK,35463,10311,"SCOTTSDALE, AZ",11/12/2010,DIF,PA ,NM ,FAILURE,"190,182","203,955","55,375"
TIFTON BANKING COMPANY,57831,10313,"TIFTON, GA",11/12/2010,DIF,PA ,NM ,FAILURE,"141,573","143,729","25,194"
FIRST VIETNAMESE AMERICAN BANK,57885,10307,"WESTMINSTER, CA",11/5/2010,DIF,PA ,NM ,FAILURE,"47,012","48,000","14,585"
K BANK,31263,10308,"RANDALLSTOWN, MD",11/5/2010,DIF,PA ,NM ,FAILURE,"500,056","538,258","142,343"
PIERCE COMMERCIAL BANK,34411,10309,"TACOMA, WA",11/5/2010,DIF,PA ,SM ,FAILURE,"193,473","221,082","26,754"
WESTERN COMMERCIAL BANK,58087,10310,"WOODLAND HILLS, CA",11/5/2010,DIF,PA ,NM ,FAILURE,"101,127","98,635","16,943"
HILLCREST BANK,22173,10302,"OVERLAND PARK, KS",10/22/2010,DIF,PA ,NM ,FAILURE,"1,488,785","1,583,611","275,983"
THE GORDON BANK,33904,10305,"GORDON, GA",10/22/2010,DIF,PA ,NM ,FAILURE,"26,867","29,259","11,480"
"FIRST ARIZONA SAVINGS, A FSB",32582,10306,"SCOTTSDALE, AZ",10/22/2010,DIF,PO ,SA ,FAILURE,"190,615","255,920","34,292"
PROGRESS BANK OF FLORIDA,32251,10303,"TAMPA, FL",10/22/2010,DIF,PA ,SM ,FAILURE,"86,861","94,823","34,562"
FIRST SUBURBAN NATIONAL BANK,16089,10301,"MAYWOOD, IL",10/22/2010,DIF,PA ,N ,FAILURE,"135,475","143,451","44,321"
THE FIRST NATIONAL BANK OF BARNESVILLE,2119,10304,"BARNESVILLE, GA",10/22/2010,DIF,PA ,N ,FAILURE,"122,880","126,622","46,897"
FIRST BANK OF JACKSONVILLE,27573,10300,"JACKSONVILLE, FL",10/22/2010,DIF,PA ,NM ,FAILURE,"72,198","73,922","14,726"
"SECURITY SAVINGS BANK, F.S.B.",30898,10298,"OLATHE, KS",10/15/2010,DIF,PA ,SA ,FAILURE,"347,080","453,349","55,726"
PREMIER BANK,34016,10297,"JEFFERSON CITY, MO",10/15/2010,DIF,PA ,NM ,FAILURE,"869,367","989,382","313,904"
WESTBRIDGE BANK AND TRUST COMPANY,58205,10299,"CHESTERFIELD, MO",10/15/2010,DIF,PA ,NM ,FAILURE,"70,131","87,782","22,438"
SHORELINE BANK,35250,10295,"SHORELINE, WA",10/1/2010,DIF,PA ,NM ,FAILURE,"90,644","92,980","24,411"
WAKULLA BANK,21777,10296,"CRAWFORDVILLE, FL",10/1/2010,DIF,PA ,NM ,FAILURE,"367,228","402,205","122,473"
NORTH COUNTY BANK,35053,10294,"ARLINGTON, WA",9/24/2010,DIF,PA ,NM ,FAILURE,"276,081","288,776","70,800"
HAVEN TRUST BANK FLORIDA,58308,10293,"PONTE VEDRA BEACH, FL",9/24/2010,DIF,PA ,NM ,FAILURE,"133,561","148,575","34,827"
THE BANK OF ELLIJAY,58197,10287,"ELLIJAY, GA",9/17/2010,DIF,PA ,NM ,FAILURE,"160,718","168,820","79,709"
ISN BANK,57107,10290,"CHERRY HILL, NJ",9/17/2010,DIF,PA ,NM ,FAILURE,"79,652","81,564","19,015"
FIRST COMMERCE COMMUNITY BANK,57448,10289,"DOUGLASVILLE, GA",9/17/2010,DIF,PA ,NM ,FAILURE,"242,831","248,151","101,039"
THE PEOPLES BANK,182,10292,"WINDER, GA",9/17/2010,DIF,PA ,NM ,FAILURE,"398,181","447,185","101,852"
BRAMBLE SAVINGS BANK,27808,10288,"MILFORD, OH",9/17/2010,DIF,PA ,SB ,FAILURE,"41,551","47,523","17,928"
MARITIME SAVINGS BANK,28612,10291,"WEST ALLIS, WI",9/17/2010,DIF,PA ,SB ,FAILURE,"248,134","350,488","91,030"
HORIZON BANK,35061,10286,"BRADENTON, FL",9/10/2010,DIF,PA ,SM ,FAILURE,"164,594","187,819","61,394"
BUTTE COMMUNITY BANK,33219,10278,"CHICO, CA",8/20/2010,DIF,PA ,NM ,FAILURE,"471,256","498,751","9,440"
LOS PADRES BANK,32165,10282,"SOLVANG, CA",8/20/2010,DIF,PA ,SB ,FAILURE,"770,899","866,459","31,632"
IMPERIAL SAVINGS AND LOAN ASSOCIATION,31623,10280,"MARTINSVILLE, VA",8/20/2010,DIF,PA ,SB ,FAILURE,"10,090","9,448","4,752"
SHOREBANK,15640,10284,"CHICAGO, IL",8/20/2010,DIF,PA ,NM ,FAILURE,"1,547,403","2,166,431","526,903"
COMMUNITY NATIONAL BANK AT BARTOW,25266,10279,"BARTOW, FL",8/20/2010,DIF,PA ,N ,FAILURE,"63,708","67,918","9,170"
PACIFIC STATE BANK,27090,10283,"STOCKTON, CA",8/20/2010,DIF,PA ,SM ,FAILURE,"278,832","312,077","36,624"
SONOMA VALLEY BANK,27259,10285,"SONOMA, CA",8/20/2010,DIF,PA ,NM ,FAILURE,"255,501","337,113","10,176"
INDEPENDENT NATIONAL BANK,27344,10281,"OCALA, FL",8/20/2010,DIF,PA ,N ,FAILURE,"141,877","156,218","11,982"
PALOS BANK AND TRUST COMPANY,17599,10277,"PALOS HEIGHTS, IL",8/13/2010,DIF,PA ,NM ,FAILURE,"467,784","493,391","70,642"
RAVENSWOOD BANK,34231,10276,"CHICAGO, IL",8/6/2010,DIF,PA ,NM ,FAILURE,"269,448","264,628","70,148"
LIBERTYBANK,31964,10273,"EUGENE, OR",7/30/2010,DIF,PA ,NM ,FAILURE,"692,670","714,574","58,683"
BAYSIDE SAVINGS BANK,57669,10271,"PORT SAINT JOE, FL",7/30/2010,DIF,PA ,SB ,FAILURE,"52,720","64,344","12,479"
NORTHWEST BANK & TRUST,57658,10274,"ACWORTH, GA",7/30/2010,DIF,PA ,NM ,FAILURE,"155,531","160,763","33,627"
THE COWLITZ BANK,22643,10275,"LONGVIEW, WA",7/30/2010,DIF,PA ,NM ,FAILURE,"474,742","489,019","37,080"
COASTAL COMMUNITY BANK,9619,10272,"PANAMA CITY BEACH, FL",7/30/2010,DIF,PA ,NM ,FAILURE,"370,016","377,469","116,866"
THUNDER BANK,10506,10269,"SYLVAN GROVE, KS",7/23/2010,DIF,PA ,SM ,FAILURE,"27,048","28,248","6,651"
WILLIAMSBURG FIRST NATIONAL BANK,17837,10270,"KINGSTREE, SC",7/23/2010,DIF,PA ,N ,FAILURE,"126,993","130,411","2,425"
HOME VALLEY BANK,23181,10266,"CAVE JUNCTION, OR",7/23/2010,DIF,PA ,SM ,FAILURE,"227,935","250,488","32,112"
CRESCENT BANK AND TRUST COMPANY,27559,10265,"JASPER, GA",7/23/2010,DIF,PA ,NM ,FAILURE,"932,809","970,235","307,089"
SOUTHWESTUSA BANK,35434,10267,"LAS VEGAS, NV",7/23/2010,DIF,PA ,NM ,FAILURE,"183,985","203,690","87,710"
COMMUNITY SECURITY BANK,34486,10264,"NEW PRAGUE, MN",7/23/2010,DIF,PA ,NM ,FAILURE,"95,100","100,649","18,495"
STERLING BANK,32536,10268,"LANTANA, FL",7/23/2010,DIF,PA ,SM ,FAILURE,"329,541","354,966","42,517"
WOODLANDS BANK,32571,10262,"BLUFFTON, SC",7/16/2010,DIF,PA ,SB ,FAILURE,"364,808","382,803","107,349"
TURNBERRY BANK,32280,10261,"AVENTURA, FL",7/16/2010,DIF,PA ,SB ,FAILURE,"179,169","240,250","28,658"
FIRST NATIONAL BANK OF THE SOUTH,35383,10263,"SPARTANBURG, SC",7/16/2010,DIF,PA ,N ,FAILURE,"550,891","619,374","69,391"
METRO BANK OF DADE COUNTY,25172,10259,"MIAMI, FL",7/16/2010,DIF,PA ,SM ,FAILURE,"375,522","399,441","64,179"
OLDE CYPRESS COMMUNITY BANK,28864,10260,"CLEWISTON, FL",7/16/2010,DIF,PA ,SB ,FAILURE,"157,997","161,355","25,533"
"MAINSTREET SAVINGS BANK, FSB",28136,10258,"HASTINGS, MI",7/16/2010,DIF,PA ,SB ,FAILURE,"63,291","96,584","14,318"
BAY NATIONAL BANK,35462,10255,"BALTIMORE, MD",7/9/2010,DIF,PA ,N ,FAILURE,"212,612","217,743","21,144"
USA BANK,58072,10254,"PORT CHESTER, NY",7/9/2010,DIF,PA ,NM ,FAILURE,"188,644","190,678","64,576"
IDEAL FEDERAL SAVINGS BANK,32456,10257,"BALTIMORE, MD",7/9/2010,DIF,PO ,SB ,FAILURE,"5,803","6,177","4,179"
HOME NATIONAL BANK,11636,10256,"BLACKWELL, OK",7/9/2010,DIF,PA ,N ,FAILURE,"514,038","585,445","65,822"
FIRST NATIONAL BANK,34152,10251,"SAVANNAH, GA",6/25/2010,DIF,PA ,N ,FAILURE,"231,857","252,520","81,375"
HIGH DESERT STATE BANK,35279,10252,"ALBUQUERQUE, NM",6/25/2010,DIF,PA ,NM ,FAILURE,"80,985","80,343","28,487"
PENINSULA BANK,26563,10253,"ENGLEWOOD, FL",6/25/2010,DIF,PA ,NM ,FAILURE,"580,140","630,179","184,015"
NEVADA SECURITY BANK,57110,10250,"RENO, NV",6/18/2010,DIF,PA ,NM ,FAILURE,"479,759","492,491","73,101"
WASHINGTON FIRST INTERNATIONAL BANK,32955,10249,"SEATTLE, WA",6/11/2010,DIF,PA ,NM ,FAILURE,"441,362","520,887","95,372"
ARCOLA HOMESTEAD SAVINGS BANK,31813,10246,"ARCOLA, IL",6/4/2010,DIF,PO ,SB ,FAILURE,"18,092","17,028","12,429"
FIRST NATIONAL BANK,15814,10247,"ROSEDALE, MS",6/4/2010,DIF,PA ,N ,FAILURE,"63,483","60,449","18,111"
TIERONE BANK,29341,10248,"LINCOLN, NE",6/4/2010,DIF,PA ,SB ,FAILURE,"2,185,817","2,824,737","3,541"
"GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION",57315,10244,"GRANITE BAY, CA",5/28/2010,DIF,PA ,N ,FAILURE,"94,252","102,913","14,009"
BANK OF FLORIDA - SOUTHEAST,57360,10241,"FORT LAUDERDALE, FL",5/28/2010,DIF,PA ,NM ,FAILURE,"531,752","595,318","60,470"
BANK OF FLORIDA - SOUTHWEST,35106,10242,"NAPLES, FL",5/28/2010,DIF,PA ,NM ,FAILURE,"559,897","640,894","87,638"
SUN WEST BANK,34785,10245,"LAS VEGAS, NV",5/28/2010,DIF,PA ,NM ,FAILURE,"353,943","360,662","121,908"
BANK OF FLORIDA - TAMPA BAY,57814,10243,"TAMPA BAY, FL",5/28/2010,DIF,PA ,NM ,FAILURE,"224,024","240,513","30,582"
PINEHURST BANK,57735,10240,"ST. PAUL, MN",5/21/2010,DIF,PA ,NM ,FAILURE,"58,288","61,215","8,410"
SATILLA COMMUNITY BANK,35114,10238,"SAINT MARYS, GA",5/14/2010,DIF,PA ,NM ,FAILURE,"134,005","135,688","38,326"
SOUTHWEST COMMUNITY BANK,34255,10239,"SPRINGFIELD, MO",5/14/2010,DIF,PA ,NM ,FAILURE,"102,463","100,659","25,580"
NEW LIBERTY BANK,35586,10237,"PLYMOUTH, MI",5/14/2010,DIF,PA ,NM ,FAILURE,"101,884","111,239","24,639"
MIDWEST BANK AND TRUST COMPANY,18117,10236,"ELMWOOD PARK, IL",5/14/2010,DIF,PA ,SM ,FAILURE,"2,420,738","3,172,915",0
ACCESS BANK,16476,10233,"CHAMPLIN, MN",5/7/2010,DIF,PA ,NM ,FAILURE,"31,969","31,996","7,916"
THE BANK OF BONIFAY,14246,10234,"BONIFAY, FL",5/7/2010,DIF,PA ,NM ,FAILURE,"230,190","242,871","65,819"
TOWNE BANK OF ARIZONA,57697,10235,"MESA, AZ",5/7/2010,DIF,PA ,NM ,FAILURE,"113,243","120,246","44,832"
1ST PACIFIC BANK OF CALIFORNIA,35517,10232,"SAN DIEGO, CA",5/7/2010,DIF,PA ,SM ,FAILURE,"291,173","335,798","11,105"
CHAMPION BANK,58362,10227,"CREVE COEUR, MO",4/30/2010,DIF,PA ,NM ,FAILURE,"153,763","195,510","57,091"
R-G PREMIER BANK OF PUERTO RICO,32185,10230,"HATO REY, PR",4/30/2010,DIF,PA ,NM ,FAILURE,"4,220,108","5,681,177","1,094,662"
WESTERNBANK PUERTO RICO,31027,10231,"MAYAGUEZ, PR",4/30/2010,DIF,PA ,NM ,FAILURE,"8,619,969","10,797,345","2,243,831"
BC NATIONAL BANKS,17792,10225,"BUTLER, MO",4/30/2010,DIF,PA ,N ,FAILURE,"43,635","52,204","9,220"
FRONTIER BANK,22710,10228,"EVERETT, WA",4/30/2010,DIF,PA ,NM ,FAILURE,"2,846,886","3,250,734","493,825"
EUROBANK,27150,10229,"SAN JUAN, PR",4/30/2010,DIF,PA ,NM ,FAILURE,"1,970,724","2,453,138","577,325"
CF BANCORP,30005,10226,"PORT HURON, MI",4/30/2010,DIF,PA ,SB ,FAILURE,"1,418,445","1,599,122","387,116"
BROADWAY BANK,22853,10219,"CHICAGO, IL",4/23/2010,DIF,PA ,NM ,FAILURE,"1,113,959","1,059,194","388,523"
PEOTONE BANK AND TRUST COMPANY,10888,10223,"PEOTONE, IL",4/23/2010,DIF,PA ,NM ,FAILURE,"124,676","130,165","47,013"
WHEATLAND BANK,58429,10224,"NAPERVILLE, IL",4/23/2010,DIF,PA ,NM ,FAILURE,"438,502","441,694","194,729"
NEW CENTURY BANK,34821,10222,"CHICAGO, IL",4/23/2010,DIF,PA ,NM ,FAILURE,"492,046","447,239","133,865"
CITIZENS BANK & TRUST COMPANY OF CHICAGO,34658,10220,"CHICAGO, IL",4/23/2010,DIF,PA ,NM ,FAILURE,"74,519","73,490","43,162"
LINCOLN PARK SAVINGS BANK,30600,10221,"CHICAGO, IL",4/23/2010,DIF,PA ,SB ,FAILURE,"162,627","194,618","41,436"
"AMCORE BANK, NATIONAL ASSOCIATION",3735,10218,"ROCKFORD, IL",4/23/2010,DIF,PA ,N ,FAILURE,"3,421,194","3,066,240","32,944"
LAKESIDE COMMUNITY BANK,34878,10215,"STERLING HEIGHTS, MI",4/16/2010,DIF,PO ,NM ,FAILURE,"52,290","49,173","22,143"
AMERICANFIRST BANK,57724,10210,"CLERMONT, FL",4/16/2010,DIF,PA ,NM ,FAILURE,"81,887","104,034","17,047"
TAMALPAIS BANK,33493,10217,"SAN RAFAEL, CA",4/16/2010,DIF,PA ,NM ,FAILURE,"487,582","611,504",0
INNOVATIVE BANK,23876,10214,"OAKLAND, CA",4/16/2010,DIF,PA ,NM ,FAILURE,"225,241","266,816","23,842"
RIVERSIDE NATIONAL BANK OF FLORIDA,24067,10216,"FORT PIERCE, FL",4/16/2010,DIF,PA ,N ,FAILURE,"2,724,623","3,393,818","24,072"
CITY BANK,21521,10212,"LYNNWOOD, WA",4/16/2010,DIF,PA ,NM ,FAILURE,"1,020,494","981,913","158,723"
BUTLER BANK,26619,10211,"LOWELL, MA",4/16/2010,DIF,PA ,SB ,FAILURE,"233,222","245,534","20,560"
FIRST FEDERAL BANK OF NORTH FLORIDA,28886,10213,"PALATKA, FL",4/16/2010,DIF,PA ,SB ,FAILURE,"324,198","440,122","18,490"
BEACH FIRST NATIONAL BANK,34242,10209,"MYRTLE BEACH, SC",4/9/2010,DIF,PA ,N ,FAILURE,"516,026","590,024","164,718"
DESERT HILLS BANK,57060,10205,"PHOENIX, AZ",3/26/2010,DIF,PA ,NM ,FAILURE,"426,473","496,552","114,695"
MCINTOSH COMMERCIAL BANK,57399,10207,"CARROLLTON, GA",3/26/2010,DIF,PA ,NM ,FAILURE,"343,339","363,405","164,026"
UNITY NATIONAL BANK,34678,10208,"CARTERSVILLE, GA",3/26/2010,DIF,PA ,N ,FAILURE,"264,286","300,590","73,589"
KEY WEST BANK,34684,10206,"KEY WEST, FL",3/26/2010,DIF,PA ,SB ,FAILURE,"67,662","88,031","16,215"
CENTURY SECURITY BANK,58104,10198,"DULUTH, GA",3/19/2010,DIF,PA ,NM ,FAILURE,"93,967","96,535","38,460"
ADVANTA BANK CORP.,33535,10200,"DRAPER, UT",3/19/2010,DIF,PO ,NM ,FAILURE,"1,519,471","1,525,931","536,964"
FIRST LOWNDES BANK,24957,10204,"FORT DEPOSIT, AL",3/19/2010,DIF,PA ,NM ,FAILURE,"131,117","137,175","13,105"
APPALACHIAN COMMUNITY BANK,33989,10199,"ELLIJAY, GA",3/19/2010,DIF,PA ,NM ,FAILURE,"917,575","1,010,075","458,266"
AMERICAN NATIONAL BANK,18806,10201,"PARMA, OH",3/19/2010,DIF,PA ,N ,FAILURE,"66,752","70,318","14,960"
BANK OF HIAWASSEE,10054,10202,"HIAWASSEE, GA",3/19/2010,DIF,PA ,NM ,FAILURE,"339,597","377,779","108,749"
STATE BANK OF AURORA,8221,10203,"AURORA, MN",3/19/2010,DIF,PA ,NM ,FAILURE,"27,801","28,159","7,026"
THE PARK AVENUE BANK,27096,10195,"NEW YORK, NY",3/12/2010,DIF,PA ,NM ,FAILURE,"494,505","520,146","79,227"
STATEWIDE BANK,29561,10196,"COVINGTON, LA",3/12/2010,DIF,PA ,NM ,FAILURE,"207,821","243,215","29,048"
OLD SOUTHERN BANK,58182,10197,"ORLANDO, FL",3/12/2010,DIF,PA ,SM ,FAILURE,"319,746","336,390","76,505"
LIBERTYPOINTE BANK,58071,10194,"NEW YORK, NY",3/11/2010,DIF,PA ,NM ,FAILURE,"209,477","216,500","19,702"
WATERFIELD BANK,34976,10190,"GERMANTOWN, MD",3/5/2010,DIF,PO ,SB ,FAILURE,"156,188","155,566","18,540"
CENTENNIAL BANK,34430,10193,"OGDEN, UT",3/5/2010,DIF,PO ,NM ,FAILURE,"205,076","212,839","73,494"
SUN AMERICAN BANK,27126,10192,"BOCA RATON, FL",3/5/2010,DIF,PA ,SM ,FAILURE,"443,481","535,724","123,050"
BANK OF ILLINOIS,9268,10191,"NORMAL, IL",3/5/2010,DIF,PA ,SM ,FAILURE,"198,487","211,711","21,692"
RAINIER PACIFIC BANK,38129,10189,"TACOMA, WA",2/26/2010,DIF,PA ,SB ,FAILURE,"446,192","717,806","7,640"
CARSON RIVER COMMUNITY BANK,58352,10188,"CARSON CITY, NV",2/26/2010,DIF,PA ,NM ,FAILURE,"50,024","51,095","15,090"
MARCO COMMUNITY BANK,57586,10187,"MARCO ISLAND, FL",2/19/2010,DIF,PA ,SM ,FAILURE,"117,097","119,578","25,416"
"LA JOLLA BANK, FSB",32423,10185,"LA JOLLA, CA",2/19/2010,DIF,PA ,SB ,FAILURE,"2,799,362","3,646,071","580,999"
THE LA COSTE NATIONAL BANK,3287,10186,"LA COSTE, TX",2/19/2010,DIF,PA ,N ,FAILURE,"49,275","53,936","5,709"
GEORGE WASHINGTON SAVINGS BANK,29952,10184,"ORLAND PARK, IL",2/19/2010,DIF,PA ,SB ,FAILURE,"395,310","413,673","134,106"
1ST AMERICAN STATE BANK OF MINNESOTA,15448,10183,"HANCOCK, MN",2/5/2010,DIF,PA ,NM ,FAILURE,"16,327","18,155","4,521"
FIRST NATIONAL BANK OF GEORGIA,16480,10179,"CARROLLTON, GA",1/29/2010,DIF,PA ,N ,FAILURE,"780,196","840,633","204,225"
AMERICAN MARINE BANK,16730,10178,"BAINBRIDGE ISLAND, WA",1/29/2010,DIF,PA ,NM ,FAILURE,"287,443","329,246","29,843"
"MARSHALL BANK, NATIONAL ASSOCIATION",16133,10182,"HALLOCK, MN",1/29/2010,DIF,PA ,N ,FAILURE,"55,662","58,566","1,301"
FIRST REGIONAL BANK,23011,10177,"LOS ANGELES, CA",1/29/2010,DIF,PA ,NM ,FAILURE,"1,664,450","2,082,684","250,420"
FLORIDA COMMUNITY BANK,5672,10181,"IMMOKALEE, FL",1/29/2010,DIF,PA ,NM ,FAILURE,"776,556","835,701","310,983"
COMMUNITY BANK & TRUST,5702,10180,"CORNELIA, GA",1/29/2010,DIF,PA ,NM ,FAILURE,"1,067,957","1,181,717","480,464"
BANK OF LEETON,8265,10174,"LEETON, MO",1/22/2010,DIF,PA ,NM ,FAILURE,"20,335","20,128","7,584"
COLUMBIA RIVER BANK,22469,10176,"THE DALLES, OR",1/22/2010,DIF,PA ,NM ,FAILURE,"908,132","955,112","56,790"
EVERGREEN BANK,20501,10172,"SEATTLE, WA",1/22/2010,DIF,PA ,NM ,FAILURE,"340,378","395,980","48,171"
PREMIER AMERICAN BANK,57147,10173,"MIAMI, FL",1/22/2010,DIF,PA ,NM ,FAILURE,"285,554","299,225","84,454"
CHARTER BANK,32498,10175,"SANTA FE, NM",1/22/2010,DIF,PA ,SB ,FAILURE,"859,933","1,201,922","130,456"
TOWN COMMUNITY BANK AND TRUST,34705,10170,"ANTIOCH, IL",1/15/2010,DIF,PA ,NM ,FAILURE,"68,323","70,758","24,022"
ST. STEPHEN STATE BANK,17522,10169,"ST. STEPHEN, MN",1/15/2010,DIF,PA ,NM ,FAILURE,"23,912","22,895","7,707"
BARNES BANKING COMPANY,1252,10171,"KAYSVILLE, UT",1/15/2010,DIF,PO ,SM ,FAILURE,"697,109","709,171","112,608"
HORIZON BANK,22977,10168,"BELLINGHAM, WA",1/8/2010,DIF,PA ,NM ,FAILURE,"1,049,063","1,188,956","219,693"
CITIZENS STATE BANK,1006,10162,"NEW BALTIMORE, MI",12/18/2009,DIF,PO ,NM ,FAILURE,"157,149","168,551","71,422"
ROCKBRIDGE COMMERCIAL BANK,58315,10164,"ATLANTA, GA",12/18/2009,DIF,PO ,NM ,FAILURE,"291,707","294,024","100,436"
INDEPENDENT BANKERS' BANK,26820,10166,"SPRINGFIELD, IL",12/18/2009,DIF,PI*,SM ,FAILURE,"511,473","585,508",0
"FIRST FEDERAL BANK OF CALIFORNIA,  A FEDERAL SAVINGS BANK",28536,10167,"SANTA MONICA, CA",12/18/2009,DIF,PA ,SB ,FAILURE,"4,538,607","6,143,903",0
PEOPLES FIRST COMMUNITY BANK,32167,10165,"PANAMA CITY, FL",12/18/2009,DIF,PA ,SB ,FAILURE,"1,684,443","1,795,420","619,102"
NEW SOUTH FEDERAL SAVINGS BANK,32276,10163,"IRONDALE, AL",12/18/2009,DIF,PA ,SB ,FAILURE,"1,163,916","1,464,127","302,103"
IMPERIAL CAPITAL BANK,26348,10161,"LA JOLLA, CA",12/18/2009,DIF,PA ,NM ,FAILURE,"2,822,300","4,046,888","297,096"
"REPUBLIC FEDERAL BANK, N.A.",22846,10158,"MIAMI, FL",12/11/2009,DIF,PA ,N ,FAILURE,"352,695","433,011","85,288"
"VALLEY CAPITAL BANK, N.A.",58399,10159,"MESA, AZ",12/11/2009,DIF,PA ,N ,FAILURE,"41,312","40,270","15,047"
SOLUTIONSBANK,4731,10160,"OVERLAND PARK, KS",12/11/2009,DIF,PA ,SM ,FAILURE,"421,271","511,103","93,578"
THE BUCKHEAD COMMUNITY BANK,34663,10152,"ATLANTA, GA",12/4/2009,DIF,PA ,NM ,FAILURE,"813,668","856,236","315,797"
GREATER ATLANTIC BANK,32583,10156,"RESTON, VA",12/4/2009,DIF,PA ,SB ,FAILURE,"179,248","203,262","30,361"
AMTRUST BANK,29776,10155,"CLEVELAND, OH",12/4/2009,DIF,PA ,SB ,FAILURE,"8,558,609","11,438,990","2,010,998"
BENCHMARK BANK,10440,10154,"AURORA, IL",12/4/2009,DIF,PA ,NM ,FAILURE,"182,760","173,062","79,321"
